title,artist,points,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Livin’ It Up,Ja Rule ft. Case,6,2001,0.874,0.767,6,-4.046,1,0.317,0.0769,0,0.0371,0.646,106.061
Love Is…,Common,6,2005,0.749,0.383,3,-12.722,0,0.394,0.313,0,0.311,0.698,90.13
Lyrics Of Fury,Eric B & Rakim,6,1988,0.784,0.942,6,-7.091,1,0.225,0.612,8.06e-6,0.114,0.846,106.126
Mask Off,Future,6,2017,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062
Mass Appeal,Gang Starr,6,1994,0.808,0.726,10,-8.435,0,0.252,0.0208,0.276,0.129,0.616,96.12
Mic Check,Aceyalone,6,1995,0.789,0.683,1,-9.39,0,0.268,0.0433,0,0.124,0.641,99.64
Mourning,Akua Naru,6,2012,0.711,0.571,1,-7.573,1,0.24,0.321,0.00116,0.135,0.346,83.04
No Church in the Wild,JAY-Z & Kanye West,6,2011,0.616,0.357,11,-15.651,1,0.0635,0.495,0.391,0.108,0.327,185.605
Old Town Road (Remix),Lil Nas X ft. Billy Ray Cyrus,6,2019,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041
OVERSEAS,Bohan Phoenix,6,2018,0.71,0.705,6,-6.554,1,0.0586,0.0145,2.01e-6,0.0979,0.547,132.064
Paper Planes,M.I.A.,6,2008,0.447,0.848,2,-6.175,1,0.222,0.033,7.45e-5,0.722,0.485,172.247
Peter Piper,Run DMC,6,1986,0.862,0.424,7,-13.717,1,0.308,0.00789,2.61e-4,0.166,0.564,105.498
PRIDE,Kendrick Lamar,6,2017,0.665,0.535,4,-7.056,0,0.0572,0.0786,1.68e-5,0.154,0.37,138.842
Push It,Salt-N-Pepa,6,1986,0.913,0.596,11,-12.477,0,0.0707,0.00658,0.00349,0.078,0.973,127.215
Put It On,Big L,6,1995,0.711,0.62,11,-10.174,0,0.212,0.0175,0,0.134,0.805,179.817
Queen Bitch,Lil’ Kim,6,1996,0.787,0.773,2,-8.533,1,0.328,0.0732,0.102,0.105,0.844,85.658
Self Control,Frank Ocean,6,2016,0.572,0.209,8,-10.413,1,0.0313,0.765,0,0.356,0.446,80.069
Still Tippin’,Mike Jones,6,2004,0.86,0.861,6,-7.131,0,0.307,0.0361,4.07e-5,0.113,0.79,143.184
Sub City,Stogie T,6,2016,0.63,0.61,8,-8.195,1,0.367,0.207,0,0.154,0.488,81.263
Swimming Pools (Drank),Kendrick Lamar,6,2012,0.577,0.447,8,-5.892,1,0.277,0.00627,2.2e-4,0.0899,0.189,74.236
The Blacker The Berry,Kendrick Lamar,6,2015,0.553,0.852,10,-4.08,0,0.305,0.00713,0,0.463,0.27,176.058
The Story Of OJ,JAY-Z,6,2017,0.708,0.369,1,-12.799,1,0.703,0.938,2.79e-5,0.118,0.833,131.874
Trap Beldi,Issam,6,2018,0.748,0.724,2,-9.017,1,0.0689,0.151,0.00189,0.13,0.703,164.027
Verbal Intercourse,Raekwon ft. Ghostface Killah and Nas,6,1995,0.814,0.663,1,-7.446,1,0.355,0.296,3.39e-6,0.16,0.52,93.014
Vicious Rap,Tanya Winley,6,1980,0.735,0.826,7,-9.381,1,0.334,0.456,0,0.359,0.65,107.568
What About Me,Lil Boosie,6,2007,0.779,0.704,8,-5.915,1,0.0534,0.473,0,0.17,0.406,82.023
Worst Behavior,Drake,6,2013,0.779,0.799,9,-6.359,1,0.15,0.158,0,0.209,0.414,109.944
You Got Me,The Roots ft. Erykah Badu,6,1999,0.729,0.442,11,-8.106,0,0.285,0.151,0,0.189,0.757,81.029
Mona Lisa,Slick Rick,4,1988,0.919,0.828,6,-6.923,0,0.207,0.0882,4.43e-6,0.0658,0.826,106.852
Witness (1 Hope),Roots Manuva,4,2001,0.74,0.866,6,-3.597,0,0.295,0.00128,4.32e-6,0.125,0.814,91.887
1 Train,ASAP Rocky,4,2013,0.637,0.736,7,-7.587,0,0.0411,0.0257,0.132,0.151,0.554,83.972
Ambitionz Az A Ridah,2Pac,4,1996,0.801,0.908,2,-6.554,1,0.221,0.00253,6.55e-4,0.0698,0.805,87.279
Award Tour,A Tribe Called Quest,4,1993,0.812,0.6,7,-9.414,1,0.254,0.00308,8.38e-6,0.173,0.555,97.338
Baby Got Back,Sir Mix-A-Lot,4,1992,0.926,0.669,1,-11.271,1,0.301,0.0051,0,0.0887,0.642,128.462
Bastard,Tyler The Creator,4,2009,0.531,0.549,7,-9.949,1,0.324,0.734,0,0.715,0.308,145.567
Black Ice,Goodie Mob ft. OutKast,4,1998,0.927,0.679,11,-5.411,0,0.363,0.0471,0,0.0479,0.371,101.181
Boyz-n-the-Hood,Eazy-E,4,1988,0.785,0.479,3,-10.247,1,0.362,0.0417,3.5e-5,0.334,0.727,87.691
Can I Kick It,A Tribe Called Quest,4,1990,0.848,0.666,0,-6.547,1,0.274,0.173,6.99e-4,0.129,0.744,96.662
Can I Live,JAY-Z,4,1996,0.624,0.692,9,-12.365,1,0.433,0.0818,0,0.161,0.576,76.44
